CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	WEIGHT	CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_1-PLANE_2-OBJECT_1-REDSHIFT
19.312574	19.710247	20.342707	1.0	20.004856	19.645468	19.531002	0.32207826	1.4065276
21.599575	21.275087	21.201363	1.0	23.41541	21.79813	20.73945	0.47771528	1.4500608
20.722837	19.776447	19.30285	1.0	23.071577	21.86592	20.947245	0.44276726	1.3023486
20.449806	20.087904	19.986126	1.0	19.346432	18.548065	18.207384	0.72454345	1.7502402
21.197853	20.85176	20.75391	1.0	21.597866	20.542002	19.808071	0.60693115	1.8908323
20.409838	18.96376	18.063488	1.0	22.652277	21.044725	19.70278	0.6530913	1.4585441
19.6202	20.5336	19.654905	1.0	21.28832	20.56768	20.142262	0.2643862	1.3122259
19.79966	19.245178	18.98239	1.0	21.273006	20.31226	19.661139	0.33195844	1.3354937
21.154413	20.37245	19.91023	1.0	23.46394	22.098242	20.431751	0.36981404	1.3797202
20.670086	20.093403	19.83904	1.0	19.807182	19.497501	19.395702	0.51751125	1.4587692
21.22924	21.044624	21.092472	1.0	21.254995	20.894611	20.823994	0.48126364	1.4197253
21.385147	20.810518	20.580296	1.0	23.849974	22.384762	20.91863	0.6401647	1.5666285
20.155294	19.213453	18.614582	1.0	22.698587	21.567486	20.912369	0.49293724	1.3677045
21.477755	20.8219	20.33274	1.0	22.314528	20.947447	19.960835	0.53293407	1.3463079
21.28904	20.801846	20.647736	1.0	20.873335	20.140617	19.750227	0.30987164	1.6280339
21.268915	20.408588	19.963694	1.0	22.951035	21.500961	20.618685	0.43267432	1.5047534
21.187962	20.210878	19.6492	1.0	24.214884	22.206673	20.630846	0.7184023	1.5974613
21.800726	21.469826	21.433361	1.0	23.003143	21.376299	19.838911	0.32260376	1.6206927
20.84657	19.987621	19.535234	1.0	23.808004	22.3738	20.476019	0.50930816	1.29477
21.962965	21.487736	21.289518	1.0	22.542429	21.114328	19.86291	0.38642347	1.4529934
20.71478	20.13178	19.836073	1.0	21.660456	20.651207	20.038094	0.4991589	1.2916111
21.486013	20.073658	19.180914	1.0	22.341902	21.020525	20.122267	0.43022382	1.4309338
21.16344	20.677309	20.503122	1.0	23.40532	21.973158	20.074085	0.4501215	1.4226114
21.847689	21.184057	20.914652	1.0	21.522161	20.05704	18.177395	0.6328069	1.3738846
20.876856	20.422132	20.140059	1.0	22.056992	21.136562	20.141747	0.734073	1.5118837
21.042374	20.569098	20.386873	1.0	21.003088	19.733133	18.890638	0.45923966	1.4734241
19.100903	18.21216	17.763777	1.0	23.3084	21.487059	20.405094	0.52928764	1.5361674
20.93672	19.488232	18.251514	1.0	23.213507	21.779217	20.749702	0.5975598	1.3795909
21.734255	20.16736	18.914497	1.0	21.24074	19.40085	18.407406	0.42575046	1.3002205
20.722837	19.776447	19.30285	1.0	23.596056	22.048685	19.889437	0.4362705	1.3023486
21.99857	21.039911	20.59216	1.0	23.647915	22.4718	20.516653	0.63737905	1.4954528
21.2266	20.632145	20.174984	1.0	23.955715	22.304829	19.825752	0.70579106	1.6581181
21.131147	20.368755	19.888052	1.0	23.321629	21.80778	20.310371	0.6072425	1.2829766
21.46383	20.271849	19.633512	1.0	18.304129	17.79086	17.546076	0.27106756	1.3036876
21.958256	21.445896	21.259804	1.0	21.59148	20.070961	19.130424	0.43093464	1.5809604
21.31076	20.316147	19.739683	1.0	22.42194	21.432873	20.684149	0.6546422	1.6714766
20.364977	19.940027	20.00188	1.0	23.623486	22.174385	20.630575	0.48146933	1.3944347
21.192345	19.917345	19.297869	1.0	22.51207	21.385984	20.726109	0.7462115	1.555655
19.014412	18.23763	17.783808	1.0	22.32018	20.789928	19.75131	0.31872097	1.290084
19.907349	19.487404	19.329966	1.0	23.771452	22.03064	19.903809	0.28382817	1.6779492
21.708271	20.883652	20.4476	1.0	20.082087	18.70812	17.820211	0.6843193	1.3802863
21.828259	20.957872	20.515802	1.0	22.812605	21.165985	20.037315	0.5476218	1.3141892
19.8679	19.052622	18.644613	1.0	22.672716	21.537535	20.822521	0.4795936	1.3368198
19.810785	19.15062	18.8616	1.0	21.632734	20.10726	18.456112	0.5798312	1.3733346
20.830656	20.270174	20.002571	1.0	21.974718	20.15228	19.009869	0.515285	1.4432682
21.734255	20.16736	18.914497	1.0	24.844442	23.13265	20.921665	0.69156545	1.3002205
21.470482	21.350512	21.365326	1.0	22.388266	20.865301	19.770864	0.40649945	1.74555
21.046906	20.064812	19.477043	1.0	24.060686	22.147686	20.513142	0.72052157	1.2875112
21.434338	20.93101	20.670061	1.0	23.485348	22.063332	20.602942	0.45338023	1.7823973
21.61748	20.036562	19.070911	1.0	23.974037	22.40692	20.41387	0.60210603	1.5127531
21.709417	20.07199	18.886913	1.0	22.187767	21.166037	20.434519	0.62020385	1.3823882
21.493685	20.81499	20.466722	1.0	20.879707	20.720005	20.774757	0.3021886	1.424181
20.82349	20.465256	20.319216	1.0	23.751455	22.158916	20.987019	0.63999915	1.2944556
21.569223	20.328928	19.676935	1.0	22.832613	20.901253	19.45026	0.6241399	1.4929497
20.928022	20.63438	20.53374	1.0	24.844442	23.13265	20.921665	0.69156545	1.3355014
18.936483	18.398546	18.17755	1.0	22.193794	20.99349	19.942286	0.6335723	1.3474951
21.255335	20.596987	20.250156	1.0	23.745737	22.08987	20.382284	0.68407154	1.8020829
21.731361	20.176003	18.006195	1.0	21.271238	20.13895	19.369778	0.4932519	1.3352184
20.47975	20.000805	19.731026	1.0	23.276571	21.77652	20.114561	0.43513897	1.7740207
21.518229	21.173412	21.08572	1.0	20.978943	19.827856	18.996492	0.27964073	1.3526627
