CONFIGURATION_1-PLANE_2-OBJECT_1-REDSHIFT CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-i CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT WEIGHT
1.40285039 21.96429825 21.94405365 21.87864113 21.41667557 0.3295935882220466 1.0
1.45052707 21.82042694 21.81422615 22.02666855 21.37532997 0.47312849040552185 1.0
1.30060053 21.59852409 21.58828163 21.5424099 20.8937664 0.4491614611847522 1.0
1.75346565 21.48385811 21.75193787 21.85389519 20.91266251 0.7264990625843609 1.0
1.89110446 21.6057682 21.97291565 21.86775208 20.76049232 0.6036530490230753 1.0
1.45807385 21.77886772 21.55121994 21.71321869 21.51617813 0.6583860356036914 1.0
1.31449914 21.8123436 21.78607178 21.66369438 20.61478424 0.2694489779983774 1.0
1.33401906 21.23471451 21.03508759 20.7794075 19.69021034 0.3385644040914941 1.0
1.37708163 21.63399124 21.27632713 21.07937622 20.19714355 0.3685383902666436 1.0
1.45618057 21.95694351 21.7808609 21.68382072 20.66462517 0.5162607279342841 1.0
1.41210508 21.73630333 21.71082497 21.20967865 21.38689995 0.4857764432958648 1.0
1.56812167 21.93687439 21.72823906 21.70238876 21.14429665 0.6422801531959721 1.0
1.36594176 21.89447403 21.55054855 24.51181412 22.82931137 0.4910749315534822 1.0
1.3443681 21.0798645 21.1183567 20.85881233 20.49391174 0.5375923812422049 1.0
1.62542689 20.52997589 20.42481995 20.63021851 20.40347862 0.3028279903536413 1.0
1.50956011 21.95232582 21.93418694 21.89956093 21.54482841 0.43576201455450325 1.0
1.59499478 21.53358078 21.63147926 21.40903091 20.49533463 0.7163144170613609 1.0
1.62783563 21.79487419 21.87096596 22.00058556 21.02923393 0.3271031860170528 1.0
1.29365861 21.6179924 21.61423111 22.55164337 20.38786697 0.5020306850889382 1.0
1.45878172 20.83138657 20.88250351 20.50671768 20.15550041 0.3878912800435791 1.0
1.29109168 21.98348999 21.83993721 21.95059967 21.53739929 0.4949618390909911 1.0
1.43279839 21.97171974 22.0618763 21.70756149 20.99341965 0.4340650558586153 1.0
1.42569923 21.46525002 21.96348 21.94471741 21.27260208 0.4555680042345305 1.0
1.37308073 21.6320343 22.62444496 21.56930161 22.18614578 0.6363068090855801 1.0
1.51359463 20.622612 20.73757362 20.34739113 19.87233925 0.7345503839302976 1.0
