exposure_time-g	exposure_time-r	exposure_time-z	magnitude_zero_point-g	magnitude_zero_point-r	magnitude_zero_point-z
90.0	90.0	90.0	31.451717	31.614693	31.29577
90.0	90.0	90.0	31.60143	31.65387	31.394194
90.0	100.0	90.0	31.630133	31.843023	31.39027
50.0	50.0	100.0	30.767986	30.977179	31.370842
90.0	90.0	134.0	31.473608	31.676311	31.833334
90.0	90.0	96.0	30.699648	31.673265	31.356272
285.0	40.0	213.0	32.717495	30.717407	32.041855
90.0	30.0	34.0	31.576967	30.488297	30.017126
90.0	30.0	66.0	31.561571	30.462324	30.982988
90.0	30.0	77.0	30.64669	30.488388	31.141489
267.0	267.0	300.0	32.63305	32.831333	32.659836
90.0	90.0	90.0	31.39415	31.603456	31.36849
96.0	30.0	30.0	31.661158	30.565578	30.203299
96.0	30.0	30.0	31.655336	30.494133	30.19264
90.0	90.0	90.0	31.437824	31.609034	31.399128
90.0	88.0	95.0	31.475708	31.661572	31.401932
90.0	100.0	70.0	31.416914	31.828321	31.108927
125.0	96.0	100.0	31.836578	31.739687	31.523674
100.0	30.0	90.0	31.615925	30.529072	31.358997
113.0	40.0	146.0	31.635942	30.69549	31.789368
116.0	40.0	146.0	31.868568	30.711388	31.792131
267.0	267.0	169.0	32.626488	32.819534	32.11171
90.0	62.0	69.0	31.522028	31.369608	31.036777
90.0	100.0	90.0	31.436102	31.690151	31.313314
96.0	120.0	30.0	31.697996	31.957756	30.178507
90.0	62.0	69.0	31.537369	31.371164	31.038643
300.0	30.0	87.0	32.742218	30.528751	31.301682
300.0	50.0	100.0	32.908165	30.980927	31.516937
90.0	90.0	60.0	31.4983	31.656538	30.973524
90.0	30.0	120.0	31.422392	30.503061	31.595434
108.0	51.0	187.0	31.63016	31.171251	32.05431
60.0	60.0	62.0	31.074703	31.254177	30.975971
200.0	53.0	82.0	32.41669	30.997093	31.176502
165.0	40.0	250.0	32.05024	30.692608	32.40296
96.0	30.0	30.0	31.67393	30.557898	30.212954
90.0	90.0	90.0	31.411774	31.61438	31.377478
111.0	44.0	123.0	31.689556	30.848782	31.601994
100.0	150.0	90.0	31.620144	32.233242	31.30083
300.0	40.0	100.0	32.906452	30.768806	31.516277
96.0	30.0	30.0	31.697775	30.574024	30.190878
120.0	87.0	67.0	31.773846	31.665213	30.970951
80.0	119.0	90.0	31.30181	31.919973	31.331278
40.0	100.0	90.0	30.649727	31.810741	31.420507
90.0	80.0	70.0	31.549026	31.468271	31.111446
94.0	40.0	100.0	31.558182	30.669498	31.50084
100.0	60.0	165.0	31.603172	31.2541	32.112354
102.0	200.0	67.0	31.506184	32.63616	30.971127
90.0	90.0	90.0	31.468372	31.65976	31.396694
90.0	50.0	180.0	31.530052	31.136578	32.07747
100.0	150.0	80.0	31.616123	32.2152	31.244566
96.0	70.0	30.0	31.703444	31.275368	30.283485
90.0	90.0	90.0	31.56218	31.703466	31.384344
116.0	40.0	107.0	31.643944	30.69805	31.521727
90.0	41.0	60.0	31.544697	30.822262	30.790956
80.0	52.0	80.0	31.245869	31.097975	31.282372
96.0	30.0	30.0	31.603785	30.525892	30.241814
105.0	104.0	67.0	31.544605	31.77209	30.968891
101.0	40.0	129.0	31.454432	30.79747	31.646029
90.0	30.0	97.0	31.525919	30.469366	31.437086
90.0	30.0	94.0	31.605665	30.524618	31.421974
174.0	150.0	146.0	32.23571	32.33822	31.790047
96.0	120.0	30.0	31.673342	31.961042	30.15667
240.0	180.0	50.0	32.472916	31.590128	30.807688
90.0	62.0	120.0	31.449594	31.257896	31.605942
72.0	40.0	80.0	31.304174	30.782951	31.134804
300.0	150.0	333.0	32.78803	32.206364	32.530785
90.0	100.0	113.0	31.579329	31.810635	31.630924
158.0	52.0	66.0	31.993519	30.991095	30.962284
71.0	58.0	127.0	31.233932	31.201403	31.729458
157.0	52.0	80.0	31.983356	30.984829	31.19875
90.0	150.0	40.0	31.565897	32.231865	30.538319
90.0	100.0	129.0	31.595116	31.836153	31.774511
65.0	60.0	137.0	31.148628	31.231722	31.702599
90.0	125.0	150.0	31.550367	32.000175	31.925056
73.0	51.0	124.0	31.236156	30.953274	31.494173
200.0	125.0	75.0	32.30271	31.991863	31.109762
90.0	30.0	251.0	31.379862	30.490734	32.526733
267.0	90.0	60.0	32.62476	31.677855	30.919437
90.0	90.0	83.0	31.512907	31.695692	31.259502
90.0	30.0	56.0	31.55315	30.521763	30.843222
60.0	150.0	90.0	30.970343	32.293064	31.356306
83.0	40.0	80.0	31.212725	30.651558	31.225534
