CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	WEIGHT
18.72735214	18.24565887	17.80239868	1.0
19.56413269	19.67194176	19.19413567	1.0
19.00833702	19.02914047	18.17650223	1.0
19.77078629	19.89103508	19.00308228	1.0
19.83058167	20.22519875	19.71332359	1.0
19.55021286	19.81714249	18.7074337	1.0
19.88322258	19.528265	19.40773773	1.0
18.8801403	18.73835564	17.71177673	1.0
19.97944641	19.84976959	18.29206848	1.0
19.79039383	20.11724281	19.58238411	1.0
18.98510742	19.02261543	20.21914291	1.0
19.77220345	19.9731102	20.20557594	1.0
17.92589951	18.51941872	16.92163086	1.0
19.78011322	19.47190857	18.47254753	1.0
18.93117714	18.98938179	17.70570564	1.0
19.14910698	19.1919632	18.83325768	1.0
19.7161026	19.42662811	18.09669876	1.0
19.86816025	19.62711906	18.88016891	1.0
19.98300934	20.33718491	19.88675499	1.0
19.4940815	17.98803711	20.62310219	1.0
19.59685707	20.07399559	18.96485519	1.0
19.56902122	19.49443054	19.10636902	1.0
19.87893486	19.63485909	19.69484138	1.0
17.00226021	16.54798508	16.49768639	1.0
19.80051804	19.97609901	19.66556358	1.0
19.99858856	19.75769615	18.38348579	1.0
18.73509026	19.45966339	18.25776672	1.0
19.50238037	19.57583427	19.04099274	1.0
19.85161591	20.27663422	22.30150795	1.0
19.74287224	19.59181976	18.77578735	1.0
19.9290638	19.9233036	19.48623276	1.0
19.83418846	19.91420746	18.79990768	1.0
19.89664459	19.8908329	19.41350174	1.0
17.34480858	16.90801811	16.62418747	1.0
18.6361084	18.46303368	18.85497665	1.0
19.59692764	19.64986229	19.22674751	1.0
19.01661491	19.06937599	18.41625023	1.0
19.69407272	19.56709862	18.57650375	1.0
19.79032326	20.03083229	19.41221237	1.0
19.43929291	19.46282768	18.33499336	1.0
19.96428871	20.06785965	18.5003624	1.0
19.39097977	19.58442497	19.27684975	1.0
19.81825638	19.56075096	18.33491135	1.0
19.89138031	19.9183445	19.58732224	1.0
19.39954185	19.43616295	18.16044235	1.0
19.08297729	19.1711731	18.35754585	1.0
17.49234581	17.41167068	17.12628746	1.0
19.593153	20.51055145	20.50015068	1.0
19.80031967	19.55232811	19.43568611	1.0
19.58769035	18.19818115	17.77623558	1.0
19.84317207	19.93563271	18.93200302	1.0
19.28373146	19.38433266	18.18252373	1.0
19.65995598	19.77777672	19.29594231	1.0
19.7408371	19.44079018	18.18543053	1.0
19.81061172	19.20988846	18.21991348	1.0
19.91178894	20.00125504	19.1523819	1.0
19.66661644	19.61455154	19.49661827	1.0
19.47817993	19.66888809	19.25543404	1.0
19.39920235	20.06511307	21.74716568	1.0
19.72519112	19.90743256	19.00579834	1.0
19.42923164	19.91977882	19.87342453	1.0
19.46634483	19.31554985	17.71249962	1.0
18.69522667	18.62569046	18.1484127	1.0
19.69103813	19.51180649	18.32644844	1.0
19.30125427	19.30511284	18.72506714	1.0
19.77472687	20.22809982	20.36877823	1.0
19.21339417	19.15118027	18.57423592	1.0
19.70139885	20.1842556	20.51148033	1.0
19.65396309	19.32130241	18.23210335	1.0
19.20284081	18.84905815	18.31215096	1.0
19.26906204	20.31082726	20.91386032	1.0
19.92905617	20.09815216	19.56849098	1.0
19.91915894	20.65788651	20.0581398	1.0
19.88289261	19.91512299	19.62233543	1.0
19.95285797	20.02609062	19.50060463	1.0
18.85421562	18.80524063	18.34362221	1.0
19.39180565	19.59815598	19.26918983	1.0
19.07523155	19.60273361	19.95547867	1.0
18.6350956	19.19857407	18.24304962	1.0
18.69854355	18.81437492	18.41282463	1.0
18.92407036	18.87409592	18.22132683	1.0
19.86149979	20.16660118	20.08708572	1.0
18.80610657	18.73869896	18.14964294	1.0
19.55638123	19.54260445	18.82351303	1.0
19.63213158	19.88985062	18.69603539	1.0
19.79732704	20.42678833	19.50865173	1.0
18.93294334	18.60533333	17.53178978	1.0
19.98302269	19.96806335	19.69037056	1.0
19.22123337	19.37532997	18.96060753	1.0
19.86909676	19.44638062	19.0100441	1.0
18.52782631	19.24467468	18.56222153	1.0
19.71744156	19.38413429	18.14248276	1.0
19.12891197	19.25158882	19.02208519	1.0
19.63672256	19.30868912	18.83014679	1.0
19.69935608	19.62282181	18.35058784	1.0
19.95083237	19.63625717	18.36499786	1.0
19.80073357	19.74936676	18.80359268	1.0
19.73406601	21.59276962	20.957407	1.0
19.75398827	19.86119652	18.81772995	1.0
